, acc 1
2019-04-15T12:03:16.986337: step 26378, loss 6.14672e-08, acc 1
2019-04-15T12:03:17.118981: step 26379, loss 0.000333129, acc 1
2019-04-15T12:03:17.253621: step 26380, loss 0, acc 1
2019-04-15T12:03:17.393249: step 26381, loss 3.02665e-06, acc 1
2019-04-15T12:03:17.528887: step 26382, loss 3.91155e-08, acc 1
2019-04-15T12:03:17.675495: step 26383, loss 0.000215015, acc 1
2019-04-15T12:03:17.811131: step 26384, loss 0, acc 1
2019-04-15T12:03:17.945771: step 26385, loss 0, acc 1
2019-04-15T12:03:18.078417: step 26386, loss 1.18648e-06, acc 1
2019-04-15T12:03:18.213095: step 26387, loss 0, acc 1
2019-04-15T12:03:18.347696: step 26388, loss 3.72529e-09, acc 1
2019-04-15T12:03:18.486325: step 26389, loss 0, acc 1
2019-04-15T12:03:18.626949: step 26390, loss 1.65022e-06, acc 1
2019-04-15T12:03:18.763584: step 26391, loss 0, acc 1
2019-04-15T12:03:18.900217: step 26392, loss 7.20827e-07, acc 1
2019-04-15T12:03:19.033862: step 26393, loss 5.02911e-07, acc 1
2019-04-15T12:03:19.166506: step 26394, loss 0, acc 1
2019-04-15T12:03:19.307129: step 26395, loss 3.72529e-09, acc 1
2019-04-15T12:03:19.439774: step 26396, loss 1.21071e-07, acc 1
2019-04-15T12:03:19.587380: step 26397, loss 0.000121466, acc 1
2019-04-15T12:03:19.727067: step 26398, loss 0, acc 1
2019-04-15T12:03:19.860650: step 26399, loss 6.277e-07, acc 1
2019-04-15T12:03:19.991299: step 26400, loss 4.30494e-06, acc 1

Evaluation:
2019-04-15T12:03:20.274542: step 26400, loss 8.76479, acc 0.72045

Saved model checkpoint to C:\Users\王博\Desktop\work\9. 新毕设\1. 对比方法\cnn-text-classification-tf-master\runs\1555296597\checkpoints\model-26400

2019-04-15T12:03:20.873939: step 26401, loss 0, acc 1
2019-04-15T12:03:21.001598: step 26402, loss 6.54396e-06, acc 1
2019-04-15T12:03:21.131251: step 26403, loss 0.167943, acc 0.984375
2019-04-15T12:03:21.263900: step 26404, loss 0, acc 1
2019-04-15T12:03:21.402524: step 26405, loss 3.72529e-09, acc 1
2019-04-15T12:03:21.537164: step 26406, loss 7.93475e-06, acc 1
2019-04-15T12:03:21.690754: step 26407, loss 7.02202e-07, acc 1
2019-04-15T12:03:21.839358: step 26408, loss 1.57199e-06, acc 1
2019-04-15T12:03:21.976990: step 26409, loss 1.00583e-07, acc 1
2019-04-15T12:03:22.126589: step 26410, loss 8.94067e-08, acc 1
2019-04-15T12:03:22.268255: step 26411, loss 0.0688765, acc 0.984375
2019-04-15T12:03:22.410828: step 26412, loss 3.72529e-08, acc 1
2019-04-15T12:03:22.547462: step 26413, loss 0, acc 1
2019-04-15T12:03:22.691079: step 26414, loss 0, acc 1
2019-04-15T12:03:22.825718: step 26415, loss 6.63088e-07, acc 1
2019-04-15T12:03:22.966343: step 26416, loss 0.0010059, acc 1
2019-04-15T12:03:23.100982: step 26417, loss 1.86264e-08, acc 1
2019-04-15T12:03:23.235662: step 26418, loss 0.00633535, acc 1
2019-04-15T12:03:23.369265: step 26419, loss 1.71362e-07, acc 1
2019-04-15T12:03:23.499917: step 26420, loss 0, acc 1
2019-04-15T12:03:23.641536: step 26421, loss 2.04387e-05, acc 1
2019-04-15T12:03:23.773186: step 26422, loss 2.23516e-07, acc 1
2019-04-15T12:03:23.904833: step 26423, loss 1.6746e-05, acc 1
2019-04-15T12:03:24.044459: step 26424, loss 0.000677265, acc 1
2019-04-15T12:03:24.180139: step 26425, loss 0.00153063, acc 1
2019-04-15T12:03:24.317728: step 26426, loss 0, acc 1
2019-04-15T12:03:24.452368: step 26427, loss 1.04308e-07, acc 1
2019-04-15T12:03:24.590000: step 26428, loss 5.75276e-06, acc 1
2019-04-15T12:03:24.725676: step 26429, loss 7.45058e-09, acc 1
2019-04-15T12:03:24.858283: step 26430, loss 0, acc 1
2019-04-15T12:03:24.991924: step 26431, loss 0.000277863, acc 1
2019-04-15T12:03:25.133547: step 26432, loss 8.92182e-07, acc 1
2019-04-15T12:03:25.268225: step 26433, loss 2.04891e-08, acc 1
2019-04-15T12:03:25.402827: step 26434, loss 3.01161e-06, acc 1
2019-04-15T12:03:25.536526: step 26435, loss 8.48391e-06, acc 1
2019-04-15T12:03:25.681081: step 26436, loss 0.096259, acc 0.984375
2019-04-15T12:03:25.814723: step 26437, loss 3.62088e-05, acc 1
2019-04-15T12:03:25.949405: step 26438, loss 9.9277e-07, acc 1
2019-04-15T12:03:26.081012: step 26439, loss 8.75441e-08, acc 1
2019-04-15T12:03:26.216650: step 26440, loss 0, acc 1
2019-04-15T12:03:26.356276: step 26441, loss 5.58793e-09, acc 1
2019-04-15T12:03:26.490915: step 26442, loss 0, acc 1
2019-04-15T12:03:26.628547: step 26443, loss 2.12513e-06, acc 1
2019-04-15T12:03:26.762190: step 26444, loss 1.43423e-07, acc 1
2019-04-15T12:03:26.900818: step 26445, loss 3.72529e-09, acc 1
2019-04-15T12:03:27.034462: step 26446, loss 0, acc 1
2019-04-15T12:03:27.176085: step 26447, loss 1.86265e-09, acc 1
2019-04-15T12:03:27.308728: step 26448, loss 0, acc 1
2019-04-15T12:03:27.450350: step 26449, loss 0.0004173, acc 1
2019-04-15T12:03:27.595960: step 26450, loss 2.50148e-05, acc 1
2019-04-15T12:03:27.730639: step 26451, loss 7.32002e-07, acc 1
2019-04-15T12:03:27.868232: step 26452, loss 0.00298668, acc 1
2019-04-15T12:03:27.999881: step 26453, loss 1.11759e-08, acc 1
2019-04-15T12:03:28.134519: step 26454, loss 1.11759e-08, acc 1
2019-04-15T12:03:28.269197: step 26455, loss 1.5309e-05, acc 1
2019-04-15T12:03:28.403799: step 26456, loss 5.99764e-07, acc 1
2019-04-15T12:03:28.544422: step 26457, loss 2.64494e-07, acc 1
2019-04-15T12:03:28.688039: step 26458, loss 0, acc 1
2019-04-15T12:03:28.823676: step 26459, loss 1.01986e-05, acc 1
2019-04-15T12:03:28.958316: step 26460, loss 1.72285e-06, acc 1
2019-04-15T12:03:29.090002: step 26461, loss 5.53201e-07, acc 1
2019-04-15T12:03:29.226598: step 26462, loss 1.26841e-06, acc 1
2019-04-15T12:03:29.359245: step 26463, loss 6.41673e-05, acc 1
2019-04-15T12:03:29.493891: step 26464, loss 0, acc 1
2019-04-15T12:03:29.643483: step 26465, loss 9.68572e-08, acc 1
2019-04-15T12:03:29.780118: step 26466, loss 0.000199018, acc 1
2019-04-15T12:03:29.914758: step 26467, loss 1.40678e-05, acc 1
2019-04-15T12:03:30.049397: step 26468, loss 2.17914e-06, acc 1
2019-04-15T12:03:30.182082: step 26469, loss 1.695e-07, acc 1
2019-04-15T12:03:30.318732: step 26470, loss 2.46967e-06, acc 1
2019-04-15T12:03:30.452377: step 26471, loss 4.09781e-08, acc 1
2019-04-15T12:03:30.591947: step 26472, loss 2.62842e-05, acc 1
2019-04-15T12:03:30.737556: step 26473, loss 0, acc 1
2019-04-15T12:03:30.878181: step 26474, loss 0, acc 1
2019-04-15T12:03:31.010825: step 26475, loss 1.49012e-08, acc 1
2019-04-15T12:03:31.144469: step 26476, loss 2.98023e-08, acc 1
2019-04-15T12:03:31.279109: step 26477, loss 0.000125318, acc 1
2019-04-15T12:03:31.414746: step 26478, loss 7.07804e-08, acc 1
2019-04-15T12:03:31.547393: step 26479, loss 0, acc 1
2019-04-15T12:03:31.685024: step 26480, loss 8.3258e-07, acc 1
2019-04-15T12:03:31.820660: step 26481, loss 0, acc 1
2019-04-15T12:03:31.960287: step 26482, loss 0, acc 1
2019-04-15T12:03:32.096923: step 26483, loss 2.42144e-08, acc 1
2019-04-15T12:03:32.236548: step 26484, loss 2.96159e-07, acc 1
2019-04-15T12:03:32.372225: step 26485, loss 5.28987e-07, acc 1
2019-04-15T12:03:32.510815: step 26486, loss 6.85984e-05, acc 1
2019-04-15T12:03:32.651438: step 26487, loss 0.00221816, acc 1
2019-04-15T12:03:32.792063: step 26488, loss 5.2154e-08, acc 1
2019-04-15T12:03:32.926702: step 26489, loss 8.84741e-07, acc 1
2019-04-15T12:03:33.063336: step 26490, loss 1.86265e-09, acc 1
2019-04-15T12:03:33.196979: step 26491, loss 7.45058e-09, acc 1
2019-04-15T12:03:33.332616: step 26492, loss 2.77532e-07, acc 1
2019-04-15T12:03:33.469251: step 26493, loss 1.91852e-07, acc 1
2019-04-15T12:03:33.607880: step 26494, loss 8.9406e-07, acc 1
2019-04-15T12:03:33.744515: step 26495, loss 6.36973e-05, acc 1
2019-04-15T12:03:33.881149: step 26496, loss 5.38398e-06, acc 1
2019-04-15T12:03:34.013794: step 26497, loss 4.52743e-06, acc 1
2019-04-15T12:03:34.156414: step 26498, loss 0.000189144, acc 1
2019-04-15T12:03:34.292051: step 26499, loss 6.64891e-05, acc 1
2019-04-15T12:03:34.426689: step 26500, loss 1.11759e-08, acc 1

Evaluation:
2019-04-15T12:03:34.725890: step 26500, loss 8.93231, acc 0.726079

Saved model checkpoint to C:\Users\王博\Desktop\work\9. 新毕设\1. 对比方法\cnn-text-classification-tf-master\runs\1555296597\checkpoints\model-26500

2019-04-15T12:03:35.727445: step 26501, loss 1.86265e-09, acc 1
2019-04-15T12:03:35.867071: step 26502, loss 1.86265e-09, acc 1
2019-04-15T12:03:35.994729: step 26503, loss 6.46204e-06, acc 1
2019-04-15T12:03:36.126377: step 26504, loss 0.000348417, acc 1
2019-04-15T12:03:36.275978: step 26505, loss 0.000636542, acc 1
2019-04-15T12:03:36.429566: step 26506, loss 3.72529e-08, acc 1
2019-04-15T12:03:36.564208: step 26507, loss 1.8998e-05, acc 1
2019-04-15T12:03:36.699843: step 26508, loss 0, acc 1
2019-04-15T12:03:36.832527: step 26509, loss 9.87201e-08, acc 1
2019-04-15T12:03:36.963141: step 26510, loss 1.05422e-06, acc 1
2019-04-15T12:03:37.088802: step 26511, loss 5.46383e-05, acc 1
2019-04-15T12:03:37.219454: step 26512, loss 3.38229e-05, acc 1
2019-04-15T12:03:37.350105: step 26513, loss 7.35396e-05, acc 1
2019-04-15T12:03:37.484744: step 26514, loss 0, acc 1
2019-04-15T12:03:37.617390: step 26515, loss 0, acc 1
2019-04-15T12:03:37.753027: step 26516, loss 1.5884e-05, acc 1
2019-04-15T12:03:37.888665: step 26517, loss 1.29903e-05, acc 1
2019-04-15T12:03:38.024301: step 26518, loss 5.32711e-07, acc 1
2019-04-15T12:03:38.158940: step 26519, loss 1.71363e-07, acc 1
2019-04-15T12:03:38.296573: step 26520, loss 0.000617506, acc 1
2019-04-15T12:03:38.431212: step 26521, loss 1.45286e-07, acc 1
2019-04-15T12:03:38.572833: step 26522, loss 1.86265e-09, acc 1
2019-04-15T12:03:38.711463: step 26523, loss 1.71363e-07, acc 1
2019-04-15T12:03:38.850093: step 26524, loss 3.72529e-09, acc 1
2019-04-15T12:03:38.983734: step 26525, loss 6.14672e-08, acc 1
2019-04-15T12:03:39.117377: step 26526, loss 0.000617608, acc 1
2019-04-15T12:03:39.252018: step 26527, loss 0, acc 1
2019-04-15T12:03:39.391643: step 26528, loss 0.000157161, acc 1
2019-04-15T12:03:39.526321: step 26529, loss 3.48311e-07, acc 1
2019-04-15T12:03:39.677878: step 26530, loss 2.71944e-07, acc 1
2019-04-15T12:03:39.815510: step 26531, loss 2.86845e-07, acc 1
2019-04-15T12:03:39.951147: step 26532, loss 0, acc 1
2019-04-15T12:03:40.086784: step 26533, loss 7.41529e-06, acc 1
2019-04-15T12:03:40.220427: step 26534, loss 7.37591e-07, acc 1
2019-04-15T12:03:40.354124: step 26535, loss 1.86768e-05, acc 1
2019-04-15T12:03:40.487714: step 26536, loss 0, acc 1
2019-04-15T12:03:40.625344: step 26537, loss 1.01041e-05, acc 1
2019-04-15T12:03:40.761978: step 26538, loss 8.40758e-06, acc 1
2019-04-15T12:03:40.904597: step 26539, loss 0.00572272, acc 1
2019-04-15T12:03:41.039236: step 26540, loss 9.53647e-07, acc 1
2019-04-15T12:03:41.174875: step 26541, loss 6.85139e-06, acc 1
2019-04-15T12:03:41.311509: step 26542, loss 2.29644e-05, acc 1
2019-04-15T12:03:41.447146: step 26543, loss 0, acc 1
2019-04-15T12:03:41.582782: step 26544, loss 1.86265e-09, acc 1
2019-04-15T12:03:41.720416: step 26545, loss 1.86265e-09, acc 1
2019-04-15T12:03:41.854058: step 26546, loss 0, acc 1
2019-04-15T12:03:41.990692: step 26547, loss 1.86265e-09, acc 1
2019-04-15T12:03:42.131355: step 26548, loss 0.000102379, acc 1
2019-04-15T12:03:42.264958: step 26549, loss 7.45058e-09, acc 1
2019-04-15T12:03:42.397604: step 26550, loss 0, acc 1
2019-04-15T12:03:42.530249: step 26551, loss 0.181519, acc 0.984375
2019-04-15T12:03:42.671870: step 26552, loss 0, acc 1
2019-04-15T12:03:42.807529: step 26553, loss 1.68906e-05, acc 1
2019-04-15T12:03:42.943144: step 26554, loss 1.10078e-06, acc 1
2019-04-15T12:03:43.086760: step 26555, loss 3.72529e-09, acc 1
2019-04-15T12:03:43.224392: step 26556, loss 7.45058e-09, acc 1
2019-04-15T12:03:43.357038: step 26557, loss 0, acc 1
2019-04-15T12:03:43.494669: step 26558, loss 2.73907e-05, acc 1
2019-04-15T12:03:43.641277: step 26559, loss 0, acc 1
2019-04-15T12:03:43.776951: step 26560, loss 2.04891e-08, acc 1
2019-04-15T12:03:43.914585: step 26561, loss 1.86264e-08, acc 1
2019-04-15T12:03:44.050224: step 26562, loss 1.11759e-08, acc 1
2019-04-15T12:03:44.190808: step 26563, loss 0.00291519, acc 1
2019-04-15T12:03:44.331432: step 26564, loss 9.31322e-09, acc 1
2019-04-15T12:03:44.467068: step 26565, loss 4.42153e-06, acc 1
2019-04-15T12:03:44.607692: step 26566, loss 3.78816e-06, acc 1
2019-04-15T12:03:44.745325: step 26567, loss 0, acc 1
2019-04-15T12:03:44.880961: step 26568, loss 4.73105e-07, acc 1
2019-04-15T12:03:45.016599: step 26569, loss 3.91155e-08, acc 1
2019-04-15T12:03:45.152237: step 26570, loss 0.109842, acc 0.984375
2019-04-15T12:03:45.294854: step 26571, loss 2.41585e-05, acc 1
2019-04-15T12:03:45.430493: step 26572, loss 8.15812e-06, acc 1
2019-04-15T12:03:45.567126: step 26573, loss 3.09197e-07, acc 1
2019-04-15T12:03:45.708747: step 26574, loss 1.695e-07, acc 1
2019-04-15T12:03:45.842436: step 26575, loss 1.86265e-09, acc 1
2019-04-15T12:03:45.979025: step 26576, loss 9.31322e-09, acc 1
2019-04-15T12:03:46.113664: step 26577, loss 0.000390711, acc 1
2019-04-15T12:03:46.250300: step 26578, loss 7.45057e-08, acc 1
2019-04-15T12:03:46.389926: step 26579, loss 1.71902e-05, acc 1
2019-04-15T12:03:46.525563: step 26580, loss 0, acc 1
2019-04-15T12:03:46.670176: step 26581, loss 0.00702086, acc 1
2019-04-15T12:03:46.810799: step 26582, loss 1.11759e-08, acc 1
2019-04-15T12:03:46.945477: step 26583, loss 1.49012e-08, acc 1
2019-04-15T12:03:47.082077: step 26584, loss 3.11059e-07, acc 1
2019-04-15T12:03:47.216716: step 26585, loss 2.6077e-08, acc 1
2019-04-15T12:03:47.351393: step 26586, loss 1.11759e-08, acc 1
2019-04-15T12:03:47.487989: step 26587, loss 4.45319e-05, acc 1
2019-04-15T12:03:47.629610: step 26588, loss 0, acc 1
2019-04-15T12:03:47.766285: step 26589, loss 4.84287e-08, acc 1
2019-04-15T12:03:47.901881: step 26590, loss 0.000108685, acc 1
2019-04-15T12:03:48.039513: step 26591, loss 7.50628e-07, acc 1
2019-04-15T12:03:48.173157: step 26592, loss 1.86265e-09, acc 1
2019-04-15T12:03:48.309832: step 26593, loss 7.45058e-09, acc 1
2019-04-15T12:03:48.443433: step 26594, loss 0, acc 1
2019-04-15T12:03:48.596024: step 26595, loss 0, acc 1
2019-04-15T12:03:48.736649: step 26596, loss 1.30385e-08, acc 1
2019-04-15T12:03:48.872287: step 26597, loss 1.67638e-08, acc 1
2019-04-15T12:03:49.006926: step 26598, loss 8.29781e-05, acc 1
2019-04-15T12:03:49.141567: step 26599, loss 0.00641739, acc 1
2019-04-15T12:03:49.277203: step 26600, loss 0, acc 1

Evaluation:
2019-04-15T12:03:49.565432: step 26600, loss 8.87263, acc 0.725141

Saved model checkpoint to C:\Users\王博\Desktop\work\9. 新毕设\1. 对比方法\cnn-text-classification-tf-master\runs\1555296597\checkpoints\model-26600

2019-04-15T12:03:50.165828: step 26601, loss 0, acc 1
2019-04-15T12:03:50.301465: step 26602, loss 1.35768e-05, acc 1
2019-04-15T12:03:50.433112: step 26603, loss 1.30385e-08, acc 1
2019-04-15T12:03:50.566753: step 26604, loss 0.000807008, acc 1
2019-04-15T12:03:50.717351: step 26605, loss 0, acc 1
2019-04-15T12:03:50.868946: step 26606, loss 3.72529e-09, acc 1
2019-04-15T12:03:51.010569: step 26607, loss 2.03027e-07, acc 1
2019-04-15T12:03:51.150193: step 26608, loss 5.96045e-08, acc 1
2019-04-15T12:03:51.297800: step 26609, loss 0.00191207, acc 1
2019-04-15T12:03:51.453382: step 26610, loss 0, acc 1
2019-04-15T12:03:51.604976: step 26611, loss 0.088586, acc 0.984375
2019-04-15T12:03:51.756613: step 26612, loss 1.86265e-09, acc 1
2019-04-15T12:03:51.897196: step 26613, loss 5.75984e-05, acc 1
2019-04-15T12:03:52.037820: step 26614, loss 9.38746e-07, acc 1
2019-04-15T12:03:52.173456: step 26615, loss 1.39698e-07, acc 1
2019-04-15T12:03:52.310092: step 26616, loss 0, acc 1
2019-04-15T12:03:52.443779: step 26617, loss 4.95757e-06, acc 1
2019-04-15T12:03:52.583360: step 26618, loss 5.16254e-05, acc 1
2019-04-15T12:03:52.721989: step 26619, loss 0, acc 1
2019-04-15T12:03:52.855670: step 26620, loss 0, acc 1
2019-04-15T12:03:52.992267: step 26621, loss 0, acc 1
2019-04-15T12:03:53.132944: step 26622, loss 0, acc 1
2019-04-15T12:03:53.270524: step 26623, loss 0.0182953, acc 0.984375
2019-04-15T12:03:53.407157: step 26624, loss 3.61349e-07, acc 1
2019-04-15T12:03:53.543847: step 26625, loss 0, acc 1
2019-04-15T12:03:53.691396: step 26626, loss 9.4663e-06, acc 1
2019-04-15T12:03:53.825039: step 26627, loss 0.0473326, acc 0.984375
2019-04-15T12:03:53.960679: step 26628, loss 0.113771, acc 0.984375
2019-04-15T12:03:54.096313: step 26629, loss 5.40158e-07, acc 1
2019-04-15T12:03:54.234943: step 26630, loss 2.7266e-05, acc 1
2019-04-15T12:03:54.371577: step 26631, loss 0, acc 1
2019-04-15T12:03:54.508213: step 26632, loss 1.86265e-09, acc 1
2019-04-15T12:03:54.653822: step 26633, loss 9.49947e-08, acc 1
2019-04-15T12:03:54.789460: step 26634, loss 4.80555e-07, acc 1
2019-04-15T12:03:54.925099: step 26635, loss 2.98023e-08, acc 1
2019-04-15T12:03:55.062729: step 26636, loss 3.35276e-08, acc 1
2019-04-15T12:03:55.198366: step 26637, loss 0.00056639, acc 1
2019-04-15T12:03:55.342981: step 26638, loss 1.86265e-09, acc 1
2019-04-15T12:03:55.477619: step 26639, loss 2.8312e-07, acc 1
2019-04-15T12:03:55.613258: step 26640, loss 0.120271, acc 0.984375
2019-04-15T12:03:55.750889: step 26641, loss 8.47489e-07, acc 1
2019-04-15T12:03:55.886527: step 26642, loss 8.48577e-06, acc 1
2019-04-15T12:03:56.023160: step 26643, loss 5.17811e-07, acc 1
2019-04-15T12:03:56.159795: step 26644, loss 0, acc 1
2019-04-15T12:03:56.295433: step 26645, loss 4.80597e-05, acc 1
2019-04-15T12:03:56.442040: step 26646, loss 4.50757e-07, acc 1
2019-04-15T12:03:56.579672: step 26647, loss 7.45058e-09, acc 1
2019-04-15T12:03:56.719298: step 26648, loss 4.58144e-06, acc 1
2019-04-15T12:03:56.852941: step 26649, loss 2.10478e-07, acc 1
2019-04-15T12:03:56.990573: step 26650, loss 2.57363e-05, acc 1
2019-04-15T12:03:57.129201: step 26651, loss 0.000177073, acc 1
2019-04-15T12:03:57.264878: step 26652, loss 1.30385e-07, acc 1
2019-04-15T12:03:57.400478: step 26653, loss 3.66546e-06, acc 1
2019-04-15T12:03:57.545089: step 26654, loss 2.7044e-06, acc 1
2019-04-15T12:03:57.687707: step 26655, loss 5.48704e-05, acc 1
2019-04-15T12:03:57.824343: step 26656, loss 2.61353e-05, acc 1
2019-04-15T12:03:57.959979: step 26657, loss 2.86846e-07, acc 1
2019-04-15T12:03:58.096653: step 26658, loss 7.82309e-08, acc 1
2019-04-15T12:03:58.231254: step 26659, loss 2.73807e-07, acc 1
2019-04-15T12:03:58.365894: step 26660, loss 1.64739e-05, acc 1
2019-04-15T12:03:58.501532: step 26661, loss 3.01123e-05, acc 1
2019-04-15T12:03:58.648139: step 26662, loss 0.000811041, acc 1
2019-04-15T12:03:58.786770: step 26663, loss 5.40166e-08, acc 1
2019-04-15T12:03:58.923415: step 26664, loss 5.23396e-07, acc 1
2019-04-15T12:03:59.058043: step 26665, loss 8.27563e-06, acc 1
2019-04-15T12:03:59.193681: step 26666, loss 9.3459e-06, acc 1
2019-04-15T12:03:59.333307: step 26667, loss 0, acc 1
2019-04-15T12:03:59.471935: step 26668, loss 1.86265e-09, acc 1
2019-04-15T12:03:59.607572: step 26669, loss 1.32247e-07, acc 1
2019-04-15T12:03:59.749194: step 26670, loss 0.0131485, acc 0.984375
2019-04-15T12:03:59.889817: step 26671, loss 1.86265e-09, acc 1
2019-04-15T12:04:00.026452: step 26672, loss 3.35127e-05, acc 1
2019-04-15T12:04:00.165082: step 26673, loss 1.11759e-08, acc 1
2019-04-15T12:04:00.304709: step 26674, loss 4.09781e-08, acc 1
2019-04-15T12:04:00.438352: step 26675, loss 3.35273e-07, acc 1
2019-04-15T12:04:00.573989: step 26676, loss 3.72529e-09, acc 1
2019-04-15T12:04:00.712619: step 26677, loss 0, acc 1
2019-04-15T12:04:00.850249: step 26678, loss 0.00278595, acc 1
2019-04-15T12:04:00.990873: step 26679, loss 1.17346e-07, acc 1
2019-04-15T12:04:01.125514: step 26680, loss 0, acc 1
2019-04-15T12:04:01.261152: step 26681, loss 1.49012e-08, acc 1
2019-04-15T12:04:01.395790: step 26682, loss 2.79397e-08, acc 1
2019-04-15T12:04:01.530431: step 26683, loss 3.1851e-07, acc 1
2019-04-15T12:04:01.676040: step 26684, loss 1.11759e-08, acc 1
2019-04-15T12:04:01.811679: step 26685, loss 3.20342e-06, acc 1
2019-04-15T12:04:01.956291: step 26686, loss 9.49946e-08, acc 1
2019-04-15T12:04:02.099907: step 26687, loss 5.97422e-06, acc 1
2019-04-15T12:04:02.237541: step 26688, loss 1.13431e-06, acc 1
2019-04-15T12:04:02.374173: step 26689, loss 7.50633e-07, acc 1
2019-04-15T12:04:02.509810: step 26690, loss 6.35377e-05, acc 1
2019-04-15T12:04:02.651431: step 26691, loss 9.31322e-09, acc 1
2019-04-15T12:04:02.788066: step 26692, loss 4.69502e-06, acc 1
2019-04-15T12:04:02.928690: step 26693, loss 9.31322e-09, acc 1
2019-04-15T12:04:03.065326: step 26694, loss 0, acc 1
2019-04-15T12:04:03.209938: step 26695, loss 2.04891e-08, acc 1
2019-04-15T12:04:03.345574: step 26696, loss 5.96046e-08, acc 1
2019-04-15T12:04:03.483206: step 26697, loss 0.00507027, acc 1
2019-04-15T12:04:03.618845: step 26698, loss 0.000712619, acc 1
2019-04-15T12:04:03.756476: step 26699, loss 2.64104e-06, acc 1
2019-04-15T12:04:03.892150: step 26700, loss 0, acc 1

Evaluation:
2019-04-15T12:04:04.190317: step 26700, loss 8.7779, acc 0.728893

Saved model checkpoint to C:\Users\王博\Desktop\work\9. 新毕设\1. 对比方法\cnn-text-classification-tf-master\runs\1555296597\checkpoints\model-26700

2019-04-15T12:04:04.856533: step 26701, loss 1.83326e-05, acc 1
2019-04-15T12:04:04.983196: step 26702, loss 0.000122779, acc 1
2019-04-15T12:04:05.111852: step 26703, loss 5.02913e-08, acc 1
2019-04-15T12:04:05.243499: step 26704, loss 3.72485e-06, acc 1
2019-04-15T12:04:05.384123: step 26705, loss 0, acc 1
2019-04-15T12:04:05.524747: step 26706, loss 0, acc 1
2019-04-15T12:04:05.688308: step 26707, loss 4.48833e-06, acc 1
2019-04-15T12:04:05.831925: step 26708, loss 3.48463e-06, acc 1
2019-04-15T12:04:06.002470: step 26709, loss 7.45058e-09, acc 1
2019-04-15T12:04:06.146084: step 26710, loss 0.00042346, acc 1
2019-04-15T12:04:06.292693: step 26711, loss 1.84401e-07, acc 1
2019-04-15T12:04:06.431326: step 26712, loss 1.80676e-07, acc 1
2019-04-15T12:04:06.580922: step 26713, loss 5.58793e-09, acc 1
2019-04-15T12:04:06.720548: step 26714, loss 1.05725e-05, acc 1
2019-04-15T12:04:06.857222: step 26715, loss 7.9374e-05, acc 1
2019-04-15T12:04:06.993856: step 26716, loss 7.45058e-09, acc 1
2019-04-15T12:04:07.129454: step 26717, loss 0.000103418, acc 1
2019-04-15T12:04:07.264095: step 26718, loss 3.72529e-09, acc 1
2019-04-15T12:04:07.399731: step 26719, loss 1.49012e-08, acc 1
2019-04-15T12:04:07.536366: step 26720, loss 7.45049e-07, acc 1
2019-04-15T12:04:07.685966: step 26721, loss 1.86265e-09, acc 1
2019-04-15T12:04:07.829582: step 26722, loss 1.33173e-06, acc 1
2019-04-15T12:04:07.967215: step 26723, loss 6.89177e-08, acc 1
2019-04-15T12:04:08.101854: step 26724, loss 8.20652e-06, acc 1
2019-04-15T12:04:08.235535: step 26725, loss 0.000187939, acc 1
2019-04-15T12:04:08.372130: step 26726, loss 0, acc 1
2019-04-15T12:04:08.505773: step 26727, loss 7.94961e-06, acc 1
2019-04-15T12:04:08.644403: step 26728, loss 1.86265e-09, acc 1
2019-04-15T12:04:08.784029: step 26729, loss 2.0376e-06, acc 1
2019-04-15T12:04:08.919667: step 26730, loss 2.99748e-05, acc 1
2019-04-15T12:04:09.055304: step 26731, loss 0.00201157, acc 1
2019-04-15T12:04:09.187949: step 26732, loss 7.45057e-08, acc 1
2019-04-15T12:04:09.324584: step 26733, loss 7.45058e-09, acc 1
2019-04-15T12:04:09.460221: step 26734, loss 1.47148e-07, acc 1
2019-04-15T12:04:09.600845: step 26735, loss 1.86264e-08, acc 1
2019-04-15T12:04:09.736483: step 26736, loss 2.55181e-07, acc 1
2019-04-15T12:04:09.876109: step 26737, loss 7.3754e-05, acc 1
2019-04-15T12:04:10.014737: step 26738, loss 9.76468e-05, acc 1
2019-04-15T12:04:10.151372: step 26739, loss 1.51985e-06, acc 1
2019-04-15T12:04:10.288006: step 26740, loss 2.0339e-06, acc 1
2019-04-15T12:04:10.422648: step 26741, loss 6.40491e-05, acc 1
2019-04-15T12:04:10.557289: step 26742, loss 4.47034e-08, acc 1
2019-04-15T12:04:10.697911: step 26743, loss 0, acc 1
2019-04-15T12:04:10.833547: step 26744, loss 1.86265e-09, acc 1
2019-04-15T12:04:10.974172: step 26745, loss 1.77837e-05, acc 1
2019-04-15T12:04:11.126763: step 26746, loss 5.40166e-08, acc 1
2019-04-15T12:04:11.264395: step 26747, loss 2.9763e-06, acc 1
2019-04-15T12:04:11.399034: step 26748, loss 2.53426e-05, acc 1
2019-04-15T12:04:11.534726: step 26749, loss 3.04857e-05, acc 1
2019-04-15T12:04:11.678290: step 26750, loss 2.68012e-06, acc 1
2019-04-15T12:04:11.811967: step 26751, loss 1.86265e-09, acc 1
2019-04-15T12:04:11.946571: step 26752, loss 1.67638e-08, acc 1
2019-04-15T12:04:12.084203: step 26753, loss 6.33299e-08, acc 1
2019-04-15T12:04:12.224826: step 26754, loss 0, acc 1
